title,total price,price per unit,unit,link,availability
"Freeze Dried Sliced Blackberries 5 Oz, 100% Natural Sliced Fruit, Great for Healthy Snacks, Smoothies or Trail Mix, NO Added Sugar or Preservatives, Gluten-Free and Good for Vegan or Paleo Diets in Resealable Bag",17.99,3.60,Ounce ,/sspa/click?ie=UTF8&spc=MTo2NjE5MzcxNjE0MjUzNzk0OjE3MzIyNTkyNjY6c3BfYXRmX25leHQ6MzAwNTI1MzM4MzAwNDAyOjowOjo&url=%2FBlackberries-Smoothies-Preservatives-Gluten-Free-Resealable%2Fdp%2FB0DJV3L1YF%2Fref%3Dsr_1_97_sspa%3Fc%3Dts%26dib%3DeyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74%26dib_tag%3Dse%26keywords%3DFresh%2BFruits%26qid%3D1732259266%26s%3Dgrocery%26sr%3D1-97-spons%26ts_id%3D16318981%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,In Stock
"bfruitful Freeze-Dried Mango, Freeze Dried Fresh Fruit Bites, Gluten Free, Vegan, Dairy Free, Kosher, No Sugar Added, Non GMO, Healthy Snacks for Kids or Adults, Single-Serve Snack Packets, 24 Pack",54.99,2.29,Count ,/sspa/click?ie=UTF8&spc=MTo2NjE5MzcxNjE0MjUzNzk0OjE3MzIyNTkyNjY6c3BfYXRmX25leHQ6MzAwMTc3MjcyNTYxNzAyOjowOjo&url=%2Fbfruitful-Freeze-Dried-Healthy-Single-Serve-Packets%2Fdp%2FB0CZPKQ5TR%2Fref%3Dsr_1_98_sspa%3Fc%3Dts%26dib%3DeyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74%26dib_tag%3Dse%26keywords%3DFresh%2BFruits%26qid%3D1732259266%26s%3Dgrocery%26sr%3D1-98-spons%26ts_id%3D16318981%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,In Stock
"Freeze Dried Passion Fruit, 3 Ounces, Passion Fruit Chunks for Cake, Drinks and Baking Food",12.99,4.33,Ounce ,/sspa/click?ie=UTF8&spc=MTo2NjE5MzcxNjE0MjUzNzk0OjE3MzIyNTkyNjY6c3BfYXRmX25leHQ6MjAwMDU3OTg0NDUzNjk4OjowOjo&url=%2FFreeze-Passion-Ounces-Chunks-Drinks%2Fdp%2FB09YCZFXXJ%2Fref%3Dsr_1_99_sspa%3Fc%3Dts%26dib%3DeyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74%26dib_tag%3Dse%26keywords%3DFresh%2BFruits%26qid%3D1732259266%26s%3Dgrocery%26sr%3D1-99-spons%26ts_id%3D16318981%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,In Stock
"Organic Red Cherries, 1 Bag",,51.97,,/PRODUCE-Organic-Cherries-1-Pound/dp/B07FZF2T5F/ref=sr_1_100_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-100&ts_id=16318981,Currently unavailable.
"Melissa's Fresh Passion Fruits, 1 Dozen",37.48,1.17,Ounce ,/Melissas-Fresh-Passion-Fruits-Dozen/dp/B0000EIEV3/ref=sr_1_101?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-101&ts_id=16318981,In Stock
"Organic Cranberries, 12 Oz",3.99,5.32,lb,/Organic-Cranberries-12-oz-bag/dp/B000P717RS/ref=sr_1_102_f3_0g_brist?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-102&ts_id=16318981,In Stock
"Organic Pineapple, 1 Each",4.99,1.66,lb,/Fresh-Produce-Brands-Vary-B000RGZNIG/dp/B000RGZNIG/ref=sr_1_103_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-103&ts_id=16318981,In Stock
"Hass Avocados, 4 ct Bag",4.49,0.23,Ounce,/Bagged-Hass-Avocados-4ct-Small/dp/B000P6X4WA/ref=sr_1_104_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-104&ts_id=16318981,In Stock
"Organic Gala Apple, 1 Each",1.16,2.69,lb,/Organic-Gala-Apple-1-Each/dp/B001GIP5CI/ref=sr_1_105_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-105&ts_id=16318981,In Stock
"Blood Orange, 1 Each",,,,/Fresh-Produce-Brands-May-Vary/dp/B0792M7F3N/ref=sr_1_106_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-106&ts_id=16318981,Currently unavailable.
"Bristol Farms, Melon Watermelon Petite, 1 Count",7.59,0.12,Ounce,/Bristol-Farms-Melon-Watermelon-Petite/dp/B0147RW8YW/ref=sr_1_107_f3_0g_brist?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-107&ts_id=16318981,In Stock
ORANGES LARGE FRESH FRUIT PRODUCE 4 POUND BAG,21.00,0.33,Ounce ,/ORANGES-LARGE-FRESH-FRUIT-PRODUCE/dp/B00AXYMRYA/ref=sr_1_108?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-108&ts_id=16318981,In Stock
Passion Fruit 2 lbs,34.75,1.09,Ounce ,/Generic-Passion-Fruit-2-lbs/dp/B0DM9P8836/ref=sr_1_109?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-109&ts_id=16318981,Usually ships within 11 to 12 days
Cotton Candy Grapes,,,,/Fresh-Produce-Brands-May-Vary/dp/B07FZ84BDS/ref=sr_1_110_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-110&ts_id=16318981,
Driscoll's Rainbow Pack - 7 Oz,5.99,0.86,Ounce,/Berry-Rainbow-Medley-7-Ounce/dp/B08CFM93WJ/ref=sr_1_111_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-111&ts_id=16318981,In Stock
"Fruit Danish Pastries | Christmas Holiday Corporate Food Gifts in Gift box |12 Individually Wrapped ASSORTED Fruit Filled Cinnamon Buns | Halloween, Thanksgiving-Stern’s Bakery",24.95,2.08,Count ,/sspa/click?ie=UTF8&spc=MTo2NjE5MzcxNjE0MjUzNzk0OjE3MzIyNTkyNjY6c3BfbXRmOjMwMDM0MTU4Njk3NzQwMjo6MDo6&url=%2FChristmas-Corporate-Individually-Thanksgiving-Sterns-Bakery%2Fdp%2FB09JHK2RL1%2Fref%3Dsr_1_112_sspa%3Fc%3Dts%26dib%3DeyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74%26dib_tag%3Dse%26keywords%3DFresh%2BFruits%26qid%3D1732259266%26s%3Dgrocery%26sr%3D1-112-spons%26ts_id%3D16318981%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,In Stock
GERBS Super 5 Dried Fruit Snack Mix 14 Oz. Premium | Top 14 Food Allergy Free | Resealable Bulk Bag | Made in USA | Dried Blueberry Cranberry Cherry Raisin Goji Berries Trail Mix | Gluten Peanut Free,13.99,1.00,Ounce ,/sspa/click?ie=UTF8&spc=MTo2NjE5MzcxNjE0MjUzNzk0OjE3MzIyNTkyNjY6c3BfbXRmOjMwMDI0ODA1NTEzNDMwMjo6MDo6&url=%2FGERBS-Premium-Resealable-Blueberry-Cranberry%2Fdp%2FB07MFN6KSB%2Fref%3Dsr_1_113_sspa%3Fc%3Dts%26dib%3DeyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74%26dib_tag%3Dse%26keywords%3DFresh%2BFruits%26qid%3D1732259266%26s%3Dgrocery%26sr%3D1-113-spons%26ts_id%3D16318981%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,In Stock
"Sunrise Fresh Dried Fruit - Dried Rainer Cherries - All-Natural, Unsweetened, No Added Sugar, Resealable Snack, 16oz Bag",19.99,1.25,Ounce ,/sspa/click?ie=UTF8&spc=MTo2NjE5MzcxNjE0MjUzNzk0OjE3MzIyNTkyNjY6c3BfbXRmOjIwMDA0Nzk1NDY2MzI5ODo6MDo6&url=%2FDried-Rainier-Cherries-Preservatives-Sunrise%2Fdp%2FB07VD9LKY8%2Fref%3Dsr_1_114_sspa%3Fc%3Dts%26dib%3DeyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74%26dib_tag%3Dse%26keywords%3DFresh%2BFruits%26qid%3D1732259266%26s%3Dgrocery%26sr%3D1-114-spons%26ts_id%3D16318981%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,
Organic Mini Watermelon,5.99,0.25,Ounce,/Produce-PRODUCE-Organic-Mini-Watermelon/dp/B09GSQY96H/ref=sr_1_115_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-115&ts_id=16318981,In Stock
"Cherries Ranier Yellow, 1 Bag",16.19,16.19,Count,/Cherries-Ranier-Yellow-1-Bag/dp/B01I1Q70J8/ref=sr_1_116_f3_0g_brist?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-116&ts_id=16318981,In Stock
Candied (Glazed) Red Cherries. 16 oz bag,19.99,1.25,Ounce ,/Candied-Glazed-Red-Cherries-bag/dp/B015TKK9DS/ref=sr_1_117?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-117&ts_id=16318981,In Stock
Seedless Mini Watermelon,,51.97,,/Produce-PRODUCE-Seedless-Mini-Watermelon/dp/B0B1JJ6W1L/ref=sr_1_118_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-118&ts_id=16318981,Currently unavailable.
"Gala Apple, 1 Each",0.80,1.99,lb,/365-Everyday-Value-B001W3JFLO-Apple/dp/B001W3JFLO/ref=sr_1_119_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-119&ts_id=16318981,In Stock
"Sunny Fruit Organic Figs, Organic Figs Tender and Juicy Dried Smyrna Figs",9.72,1.10,Ounce ,/Sunny-Fruit-Organic-Tender-Smyrna/dp/B072KW5B88/ref=sr_1_120_mod_primary_new?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-120&ts_id=16318981,Only 5 left in stock - order soon.
"Organic Limes, 1 Lb Bag",3.99,3.99,lb,/produce-aisle-135275-Organic-Limes/dp/B0792NT1VJ/ref=sr_1_121_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.pZgNiSau6uV1VU-rgTo2hDWkSyF6W_OXFdoiywA2F84E5OlvYaSlvlxB7ymuTauEHzMVAlNb8Dm-CEfnfTSgTIfNzix3J_3CcUY0q0wpa9av96FJss0e0sVgiqyU6zS2_P5J9djWwsbry_KLsQtuRhNGeGhrsr17BzMqPECGlQSFA5OZ9PX6uuMojH2hlpm6ERAw_FcKSKpamsYG2CNYNKePe8By46tX-9AE_5JBgk6sT0Hh4v8R0reAAzeveX293SsFlW0Qu2IfbvPUJiA66J0Le4LnHfOBgLz_DawkuNI.Zv4IH2AA_ipXfd33tPLQlpJB2874LbzNabyY4wX-a74&dib_tag=se&keywords=Fresh+Fruits&qid=1732259266&s=grocery&sr=1-121&ts_id=16318981,In Stock
