title,total price,price per unit,unit,link,availability
"Wonderful Halos Mandarins, 3Lb Bag",5.99,2.00,lb,/Wonderful-Halos-California-Grown-Mandarins-3lb/dp/B00HT7U55W/ref=sr_1_11_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-11&ts_id=16318981,In Stock
"Red Seedless Grapes, 3 Lb",7.99,2.66,lb,/Red-Seedless-Grapes-3-lb/dp/B09MDSWXRW/ref=sr_1_12_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-12&ts_id=16318981,In Stock
"Bartlett Pears, 2 lb",,27.99,,/Domex-Superfresh-Growers-Bartlett-Pears/dp/B01M1E843B/ref=sr_1_13_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-13&ts_id=16318981,Currently unavailable.
"Blackberries, 6 oz",3.49,9.31,lb,/Fresh-Produce-Brands-May-Vary/dp/B000P717MI/ref=sr_1_14_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-14&ts_id=16318981,In Stock
Organic Banana Bunch,1.58,0.79,lb,/Dole-Organic-Banana-Bunch/dp/B07ZLF9G83/ref=sr_1_15_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-15&ts_id=16318981,In Stock
"Red Raspberries, 6 Oz",3.49,9.31,lb,/Fresh-Produce-Brands-May-Vary/dp/B000P6G12U/ref=sr_1_16_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-16&ts_id=16318981,In Stock
"Organic Red Raspberries, 6 Oz",5.29,14.11,lb,/produce-aisle-040-01040-Organic-Raspberries/dp/B0031Q80UM/ref=sr_1_17_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-17&ts_id=16318981,In Stock
"Bartlett Organic Pear, 1 Each",1.00,2.49,lb,/Organic-Bartlett-Pear-One-Large/dp/B0050PRGXE/ref=sr_1_18_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-18&ts_id=16318981,In Stock
"Mandarin Clementine, 3 Lb Bag",2.99,1.00,lb,/produce-aisle-78027-Clementine-Mandarins/dp/B01M2VFYCN/ref=sr_1_19_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-19&ts_id=16318981,In Stock
Medium Hass Avocado,1.33,0.21,Ounce,/Fresh-Produce-Brands-Vary-112015/dp/B000NOGKN4/ref=sr_1_20_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-20&ts_id=16318981,In Stock
"Cantaloupe Melon, 1 Each",3.49,1.11,lb,/produce-aisle-Cantaloupe-One-Medium/dp/B000NSGULC/ref=sr_1_21_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-21&ts_id=16318981,In Stock
Large Hass Avocado,2.49,0.31,Ounce,/produce-aisle-411048-Avocado-Large/dp/B000P72UZG/ref=sr_1_22_f3_0g_wf?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-22&ts_id=16318981,In Stock
"Amazon Fresh Brand, Organic Honeycrisp Apples, 2 Lb",5.99,3.00,lb,/Fresh-Brand-Organic-Honeycrisp-Apples/dp/B08GHD4KHX/ref=sr_1_23_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-23&ts_id=16318981,In Stock
"Honeycrisp Apple, 1 Each",1.12,2.49,lb,/Fresh-Produce-Brands-Vary-B000RGZMTQ/dp/B000RGZMTQ/ref=sr_1_24_f3_0g_fs?c=ts&dib=eyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg&dib_tag=se&keywords=Fresh+Fruits&qid=1732258897&s=grocery&sr=1-24&ts_id=16318981,In Stock
Fresh California Grown Green Kiwi Fruits - 2 LBS,32.80,1.03,Ounce ,/sspa/click?ie=UTF8&spc=MTozNTU3MTg1ODYxMTQ5MTY1OjE3MzIyNTg4OTc6c3BfYnRmOjIwMDAxMjYxNzUyNDg4MTo6MDo6&url=%2FFresh-California-Grown-Kiwi-Fruits%2Fdp%2FB07ND8Y9ZM%2Fref%3Dsr_1_25_sspa%3Fc%3Dts%26dib%3DeyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg%26dib_tag%3Dse%26keywords%3DFresh%2BFruits%26qid%3D1732258897%26s%3Dgrocery%26sr%3D1-25-spons%26ts_id%3D16318981%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,In Stock
Kejora Fresh Jujube fruits (Ziziphus jujuba) in 1 LB and 2 LB (1),26.98,1.69,Ounce ,/sspa/click?ie=UTF8&spc=MTozNTU3MTg1ODYxMTQ5MTY1OjE3MzIyNTg4OTc6c3BfYnRmOjIwMDA0MjY0MTg0ODc4MTo6MDo6&url=%2FKejora-Organic-Jujube-fruits-Ziziphus%2Fdp%2FB08GZMNZX3%2Fref%3Dsr_1_26_sspa%3Fc%3Dts%26dib%3DeyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg%26dib_tag%3Dse%26keywords%3DFresh%2BFruits%26qid%3D1732258897%26s%3Dgrocery%26sr%3D1-26-spons%26ts_id%3D16318981%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,In Stock
"Fresh Fruit #1 Indoor Store Sign Vinyl Decal Sticker 8""",8.95,,,/sspa/click?ie=UTF8&spc=MTozNTU3MTg1ODYxMTQ5MTY1OjE3MzIyNTg4OTc6c3BfYnRmOjIwMDAyNzA5NTIxMzg4MTo6MDo6&url=%2FFresh-Fruit-Indoor-Store-Sticker%2Fdp%2FB07KD89H87%2Fref%3Dsr_1_27_sspa%3Fc%3Dts%26dib%3DeyJ2IjoiMSJ9.AUFcuHXwsvCVC46Dwu8vkQM66_S4Q8gfHbeQHUTvVMaHgtrSE4KsRWUEVDt-hxYfBMwAH_yV7V9mTVdBvwi_CvHAgoEoMrP28q6sB55ycfwflUhmtTGaunPkJvo0T1rpLcO9ueHltQ4I_wfd7YpxGi529dfGTjee4hB2PlNnKV61yut-4XuKCktS7APCGNFFz7d7rHY_BALRvkRjSiNyUNXmn9VG8YlWZ6kknHus0WjWKC9H5wNZnePjO5JLyaWR3ToTmdnZ2SfZZ_U3EYVhHlBlvm2vujE3QLgTAZywZ98.tz2mqnzt2fuszvApLqiv8FqhfUi8N1hiqcaN4UMz3gg%26dib_tag%3Dse%26keywords%3DFresh%2BFruits%26qid%3D1732258897%26s%3Dgrocery%26sr%3D1-27-spons%26ts_id%3D16318981%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,In Stock
